threshold,coverage,automatic_accuracy,automatic_tickets
0.6512171343679674,0.5215301003344481,0.9891783567134268,2495
0.652664417798458,0.5194397993311036,0.9899396378269618,2485
0.6538260104195014,0.5173494983277592,0.98989898989899,2475
0.655462670806209,0.5154682274247492,0.9898621248986212,2466
0.6571456219270381,0.5133779264214047,0.9898208469055375,2456
0.6583054349254456,0.5114966555183946,0.9897834082550061,2447
0.6596249537390877,0.5094063545150501,0.9897414854329093,2437
0.6604321523165854,0.5075250836120402,0.9897034596375618,2428
0.6614943459004805,0.5054347826086957,0.9904880066170388,2418
0.6625700889733984,0.5035535117056856,0.9908675799086758,2409
0.6633194477056471,0.5014632107023411,0.9908295122967903,2399
0.6643173680991213,0.4995819397993311,0.9907949790794979,2390
0.6653168338542375,0.4974916387959866,0.9911764705882353,2380
0.6663292559506916,0.4956103678929766,0.9911429776465627,2371
0.6674410042164519,0.4935200668896321,0.9915290131300296,2361
0.6683823912048068,0.4916387959866221,0.9919217687074829,2352
0.6693576955866736,0.48954849498327757,0.9918872758326217,2342
0.6700577674084838,0.4874581939799331,0.991852487135506,2332
0.6705688983407073,0.4855769230769231,0.9922513990529488,2323
0.6714389920619512,0.4834866220735786,0.9922178988326849,2313
0.6721914344406591,0.4816053511705686,0.9921875,2304
0.673249438983807,0.47951505016722407,0.9925893635571055,2294
0.6739009358125588,0.477633779264214,0.9925601750547046,2285
0.6750765250234613,0.47554347826086957,0.9925274725274725,2275
0.6759122932277783,0.4736622073578595,0.9924977934686673,2266
0.6770093505188178,0.47157190635451507,0.9924645390070922,2256
0.6775999589017467,0.469690635451505,0.9924343569203382,2247
0.6785224947593108,0.4676003344481605,0.9924005364327224,2237
0.6802029507567915,0.4657190635451505,0.9932675044883303,2228
0.6810053719560168,0.463628762541806,0.9932371505861136,2218
0.6813067099963035,0.46153846153846156,0.9932065217391305,2208
0.6817361222631386,0.4596571906354515,0.9931787175989086,2199
0.682365608784277,0.457566889632107,0.9931475559616263,2189
0.6832101731165954,0.45568561872909696,0.9931192660550459,2180
0.6840318212557697,0.4535953177257525,0.9935483870967742,2170
0.6850157799959641,0.45171404682274247,0.993521517815826,2161
0.6859393615800695,0.449623745819398,0.9944211994421199,2151
0.6870068767046178,0.44774247491638797,0.9943977591036415,2142
0.6875391309381889,0.44565217391304346,0.9948405253283302,2132
0.688234279771979,0.44377090301003347,0.9948186528497409,2123
0.6892255141876145,0.44168060200668896,0.995740653099858,2113
0.6899459212303197,0.4397993311036789,0.995722433460076,2104
0.6904645659291377,0.43770903010033446,0.9961795606494747,2094
0.6912073567534183,0.43561872909698995,0.9961612284069098,2084
0.6922454542160072,0.4337374581939799,0.996144578313253,2075
0.693343358096501,0.43164715719063546,0.9961259079903148,2065
0.6938308962548437,0.4297658862876254,0.9961089494163424,2056
0.6941866395241394,0.42767558528428096,0.9960899315738025,2046
0.6950088317535098,0.4257943143812709,0.9960726558664703,2037
0.6956125702272097,0.4237040133779264,0.9960532807104094,2027
0.6962248618422862,0.4218227424749164,0.9965312190287413,2018
0.6967949198290552,0.4197324414715719,0.9965139442231076,2008
0.697535378210512,0.41785117056856186,0.9964982491245623,1999
0.6988610800343449,0.4157608695652174,0.9964806435394671,1989
0.6992887179144515,0.41387959866220736,0.9964646464646465,1980
0.7000346190796355,0.41178929765886285,0.9964467005076142,1970
0.7010005206680872,0.4096989966555184,0.9964285714285714,1960
0.7018079603314863,0.40781772575250835,0.9969246540235777,1951
0.702362128582486,0.4057274247491639,0.9969088098918083,1941
0.7033946889672454,0.40384615384615385,0.9968944099378882,1932
0.7039870624015828,0.40175585284280935,0.9968782518210197,1922
0.7045165424379143,0.39987458193979936,0.9968635650810246,1913
0.7051350143934726,0.39778428093645485,0.9973725696269049,1903
0.7059439414431823,0.3959030100334448,0.9973600844772967,1894
0.7063480673602882,0.39381270903010035,0.9973460721868365,1884
0.7070262639968155,0.3919314381270903,0.9973333333333333,1875
0.7074465831314237,0.3898411371237458,0.9973190348525469,1865
0.7079294596228702,0.3879598662207358,0.9973060344827587,1856
0.7083988423026522,0.3858695652173913,0.9972914409534128,1846
0.7087646065597121,0.38377926421404684,0.9972766884531591,1836
0.7092132319654842,0.3818979933110368,0.9972632731253421,1827
0.7098421167420507,0.3798076923076923,0.9972482113373693,1817
0.7100742386611845,0.3779264214046823,0.9972345132743363,1808
0.7107951552831948,0.3758361204013378,0.9972191323692993,1798
0.7112974233714497,0.37395484949832775,0.9972051425377306,1789
0.7118347161361895,0.3718645484949833,0.9971894322653176,1779
0.7122335089247419,0.36998327759197325,0.9971751412429378,1770
0.7125633486486658,0.36789297658862874,0.9971590909090909,1760
0.7132720413747529,0.36601170568561875,0.9971444888635066,1751
0.7136230349541464,0.36392140468227424,0.9971280873061459,1741
0.7143127235691334,0.3620401337792642,0.9971131639722863,1732
0.7147016148853809,0.35994983277591974,0.997096399535424,1722
0.7151843024230508,0.3580685618729097,0.997081144191477,1713
0.715527197721971,0.35597826086956524,0.9970640046975925,1703
0.716045415285866,0.35388795986622074,0.9970466627288836,1693
0.7165450275617543,0.3520066889632107,0.9970308788598575,1684
0.7172254697461696,0.34991638795986624,0.9970131421744325,1674
0.7177807055985873,0.3480351170568562,0.996996996996997,1665
0.7184362746691411,0.3459448160535117,0.9969788519637462,1655
0.7188453709884655,0.3440635451505017,0.996962332928311,1646
0.7190141486393355,0.3419732441471572,0.9969437652811736,1636
0.7193418709724761,0.34009197324414714,0.9969268592501537,1627
0.7198928166318564,0.3380016722408027,0.9969078540507111,1617
0.7202869605196028,0.33612040133779264,0.9975124378109452,1608
0.7209699088607335,0.3340301003344482,0.9974968710888611,1598
0.7215684900783065,0.33214882943143814,0.9974826935179358,1589
0.721973686499359,0.33005852842809363,0.9974667511082964,1579
