threshold,automatic_accuracy,coverage,automatic_tickets
1.0403516635024397,0.8820638820638821,0.332109343125255,814
1.0468204718964658,0.8830845771144279,0.32802937576499386,804
1.0589073904338409,0.8842767295597485,0.3243574051407589,795
1.0685501123815546,0.8866242038216561,0.3202774377804978,785
1.0792653041998947,0.8890322580645161,0.31619747042023666,775
1.083923631926327,0.8875816993464052,0.31211750305997554,765
1.0882829128750362,0.8888888888888888,0.3084455324357405,756
1.0950720299053422,0.8900804289544236,0.3043655650754794,746
1.1040533878178127,0.8913043478260869,0.3002855977152183,736
1.1115449091790144,0.8911845730027548,0.2962056303549572,726
1.1211979614760867,0.891213389121339,0.29253365973072215,717
1.125912509058517,0.8910891089108911,0.28845369237046103,707
1.1350831833398043,0.8923959827833573,0.2843737250101999,697
1.1436116642198773,0.893740902474527,0.2802937576499388,687
1.152809343177419,0.8952802359882006,0.2766217870257038,678
1.1624396650758824,0.8997005988023952,0.27254181966544266,668
1.170484863413236,0.898176291793313,0.26846185230518155,658
1.180495502558485,0.9027777777777778,0.26438188494492043,648
1.1861204513990504,0.9014084507042254,0.2607099143206854,639
1.1937020933491123,0.9030206677265501,0.2566299469604243,629
1.1992740258550119,0.901453957996769,0.2525499796001632,619
1.2134000745018143,0.90311986863711,0.2484700122399021,609
1.2225127121861985,0.905,0.24479804161566707,600
1.2316205833358687,0.9033898305084745,0.24071807425540595,590
1.2412341859622424,0.9017241379310345,0.23663810689514483,580
1.2484617811157275,0.9035087719298246,0.23255813953488372,570
1.256932206816793,0.9037433155080213,0.22888616891064872,561
1.265224158934667,0.9038112522686026,0.2248062015503876,551
1.2766253673394268,0.9057301293900185,0.2207262341901265,541
1.291011038763695,0.9041353383458647,0.21705426356589147,532
1.2971009856865072,0.9042145593869731,0.21297429620563035,522
1.3063119440904982,0.90625,0.20889432884536924,512
1.3136941607618375,0.9083665338645418,0.20481436148510812,502
1.3253555812815496,0.9087221095334685,0.2011423908608731,493
1.333018356172012,0.9089026915113871,0.19706242350061198,483
1.3430728232042926,0.9090909090909091,0.19298245614035087,473
1.3538920783696533,0.9114470842332614,0.18890248878008975,463
1.3664192810319662,0.9118942731277533,0.18523051815585476,454
1.3778657547564845,0.9166666666666666,0.18115055079559364,444
1.3869771814701628,0.9170506912442397,0.17707058343533252,434
1.3946447541307077,0.9174528301886793,0.1729906160750714,424
1.4092211303988726,0.9156626506024096,0.16931864545083639,415
1.4218632021088538,0.9135802469135802,0.16523867809057527,405
1.4351550077878312,0.9139240506329114,0.16115871073031415,395
1.4448183488841055,0.9116883116883117,0.15707874337005304,385
1.459006870522132,0.9148936170212766,0.15340677274581804,376
1.4751795884158083,0.9153005464480874,0.14932680538555693,366
1.4833766339849168,0.9185393258426966,0.1452468380252958,356
1.4961160088487304,0.9161849710982659,0.14116687066503467,346
1.504011657313748,0.913946587537092,0.13749490004079967,337
1.5167395306690477,0.9174311926605505,0.13341493268053856,327
1.524128518671713,0.9148264984227129,0.12933496532027744,317
1.5360781890578605,0.9185667752442996,0.12525499796001632,307
1.5525057997831555,0.9194630872483222,0.12158302733578132,298
1.561119388788158,0.9166666666666666,0.1175030599755202,288
1.5735642076767744,0.9136690647482014,0.11342309261525908,278
1.5831462351552228,0.9107806691449815,0.10975112199102408,269
1.5997605908061836,0.9111969111969112,0.10567115463076296,259
1.6185653099902808,0.9196787148594378,0.10159118727050184,249
